,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64
48553,Channel Islands,CHI,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48554,Channel Islands,CHI,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49123,Chile,CHL,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,10.0925798416138,10.9348201751709,11.3503799438477,,,11.6181802749634,11.3715400695801,11.3639001846313,11.3821296691895,11.4589500427246,11.3573303222656,,,11.3222503662109,11.2769298553467,11.5075302124023,11.5388898849487,,,,,,,11.6418800354004,,,,,12.4140300750732,12.8935499191284,13.05415,,13.35839,13.56818,13.8509,14.20016,14.22609,14.62709,14.79605,14.8773,15.20999,15.48056,15.64486,16.25057,16.40596,16.51845,16.60817,16.67013,,,
49124,Chile,CHL,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,10.1284799575806,11.1140699386597,11.5925102233887,,,11.6482000350952,11.3580904006958,11.440770149231,11.4831695556641,11.5804901123047,11.449049949646,,,11.5747995376587,11.5528802871704,11.7305402755737,11.7764101028442,,,,,,,11.7660102844238,,,,,12.6140899658203,13.0488004684448,13.25171,,13.561,13.77924,14.18176,14.5254,14.41305,14.82003,14.94501,14.88266,14.99477,15.17669,15.23641,15.97144,16.0975,16.21596,16.23268,16.23049,,,
49693,China,CHN,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,7.46665000915527,7.81359004974365,7.91876983642578,7.58360004425049,7.22753000259399,,,,,,,,,,,,,,8.27840995788574,,,,,,,,,,,,11.31047,11.66583,11.97745,12.27143,12.39836,,,,,,,,,,
49694,China,CHN,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,9.21061038970947,9.58269023895264,9.64727020263672,9.38074970245361,9.0028600692749,,,,,,,,,,,,,,9.30484962463379,,,,,,,,,,,,11.4745,11.77843,12.00714,12.19968,12.44832,,,,,,,,,,
50263,Colombia,COL,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,6.70111989974976,,,,7.87453985214233,8.12259006500244,,8.77919960021973,9.00749015808105,9.24028015136719,9.07742977142334,9.26257038116455,8.87250995635986,,8.89328956604004,8.95020008087158,9.30867958068848,9.21592044830322,9.25973033905029,9.35428047180176,,9.70563983917236,,,,10.6640996932983,11.0685300827026,,11.8063898086548,11.9503898620605,11.91065,,11.9054,,12.44328,12.95347,13.36511,13.6644,13.7692,14.27697,14.2614,14.30347,14.05971,14.5948,14.52629,14.59223,14.71793,14.68204,14.66854,,
50264,Colombia,COL,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,6.82731008529663,,,,7.85737991333008,8.12055015563965,,8.74765968322754,8.92595958709717,9.14317035675049,8.96175956726074,9.15308952331543,8.79195976257324,,8.88311958312988,8.82450008392334,9.20895957946777,9.15888023376465,9.22126960754395,9.21852970123291,,9.08714008331299,,,,10.1545495986938,10.8416900634766,,11.5142097473145,11.3855495452881,11.40323,,11.40872,,11.90229,12.43311,12.73795,12.97491,13.27003,13.61156,13.59952,13.75747,13.45687,13.988,13.9324,13.99891,14.12919,14.14478,14.13764,,
50833,Comoros,COM,"Expected years of schooling, female",SE.SCH.LIFE.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5772500038147,,,,8.71689,,,,,,,,,,11.08566,11.11118,,,,,,
50834,Comoros,COM,"Expected years of schooling, male",SE.SCH.LIFE.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99394035339355,,,,10.53315,,,,,,,,,,11.40559,11.37371,,,,,,
